skuErp;skuSite;descricao
11092;11092-001-U;Puxador Ponto Beetle Dourado - Zen Design - Ponto
11094;11094-001-U;Puxador Alça Traso 128MM Cromado - Zen Design - 128MM
11101;11101-001-U;Puxador Alça Phenix 64MM Cromado - Zen Design - 64MM
11105;11105-001-U;Puxador Ponto Sorento Granado Dourado - Zen Design - Ponto
11111;11111-001-U;Puxador Alça Liveri IL950 Alça 128mm Cromado - Italyline - 128MM
11113;11113-001-U;Puxador Ponto Beetle Níquel Escovado - Zen Design - Ponto
11116;11116-001-U;Puxador Ponto Plana Preto - Zen Design - Ponto
11117;11117-001-U;Puxador Ponto Drito Quadrado IL2249 30X30 Cromado - Italyline - Único
11125;11125-001-U;Puxador Ponto Cup Escovado - Zen Design - Ponto
11144;11144-001-U;Puxador Alça Ken 320mm Gold - Zen Design - 320MM
11146;11146-001-U;Puxador Alça Phenix 192MM Branco - Zen Design - 192MM
11156;11156-001-U;Puxador Alça Valvet 160MM Gold - Zen Design - 160MM
11166;11166-001-U;Puxador Alça Creta 64MM Cromado - Zen Design - 64MM
11169;11169-001-U;Puxador Alça Versalhes 320mm Cromado - Zen Design - 320MM
11171;11171-001-U;Puxador Alça Arezzo 32mm Dourado - Torralba - 32MM
11172;11172-001-U;Puxador Alça Liveri IL950 Alça 192mm Cromado - Italyline - 192MM
11173;11173-001-U;Puxador Alça Manico di Cotello Wood Niquel Velho - Zen Design - 160MM
11181;11181-001-U;Puxador Alça Estrela 192mm Gold Escovado - Jador - 192MM
11182;11182-001-U;Puxador Alça Ken 416MM Cromado - Zen Design - Único
11194;11194-001-U;Puxador Alça Ken 192mm Preto - Zen Design - 192MM
11202;11202-001-U;Puxador Embutir Taglia 2706 224mm Dourado - Torralba - 224MM
11205;11205-001-U;Puxador Ponto Sinnai il808 25MM Ponto Cromado - Italyline - 25MM
11206;11206-001-U;Puxador Concha Aniela 64mm Dourado - Torralba - 64MM
11208;11208-001-U;Puxador Ponto Tucson 201 Dourado - Torralba - G
11211;11211-001-U;Puxador Embutir Taglia 2706 224mm Preto Fosco - Torralba - 224MM
11212;11212-001-U;Puxador Sobrepor Atenas 300mm Preto Fosco - Torralba - 300MM
11217;11217-001-U;Puxador Alça Piaui 352mm Dourado - Torralba - 352MM
11222;11222-001-U;Puxador Alça Piaui 224mm Dourado - Torralba - 224MM
11223;11223-001-U;Puxador Sobrepor Atenas 150mm Dourado - Torralba - 90MM
11226;11226-001-U;Puxador Ponto Orion 33x20MM Bronze - Zen Design - 33X20MM
11227;11227-001-U;Puxador Ponto Tucson 199 Dourado - Torralba - P
11229;11229-001-U;Puxador Ponto Radio Mini Dourado - Zen Design - MINI
11230;11230-001-U;Puxador Alça Sorento Liso 672mm Preto - Zen Design - 672MM
11231;11231-001-U;Puxador Alça Allen Liso 224MM Gold Esc - Zen Design - 224MM
11232;11232-001-U;Puxador Ponto Coin M Gold - Zen Design - Único
11233;11233-001-U;Puxador Sobrepor Citizen P 45 Graus Bronze - Zen Design - P
11235;11235-001-U;Puxador Alça Ken 192mm Dourado - Zen Design - 192MM
11236;11236-001-U;Puxador Alça Nord Granado 160MM Preto - Zen Design - 160MM
11237;11237-001-U;Puxador Alça Oriente 448mm Couro Marrom Vecchio Cobre - Zen Design - 448MM
11252;11252-001-U;Puxador Ponto Disk P Níquel Escovado - Zen Design - P
11253;11253-001-U;Puxador Ponto Disk P Gold Escovado - Zen Design - P
11262;11262-001-U;Puxador Concha Vivaro 115 9960 Concha 96mm Escovado - Italyline - 96MM
